Interv	Training	Alpha	Gamma	Tau	Neta	Outbr	Type_choice.mean	Type_choice.sd	Height_1_0.mean	Height_1_0.sd	Length_1_0.mean	Length_1_0.sd	redMain_1_0.mean	redMain_1_0.sd	greenMain_1_0.mean	greenMain_1_0.sd	blueMain_1_0.mean	blueMain_1_0.sd	redSec_1_0.mean	redSec_1_0.sd	greenSec_1_0.mean	greenSec_1_0.sd	blueSec_1_0.mean	blueSec_1_0.sd	secCol_1_0.mean	secCol_1_0.sd	strip_1_0.mean	strip_1_0.sd	dots_1_0.mean	dots_1_0.sd	Height_2_0.mean	Height_2_0.sd	Length_2_0.mean	Length_2_0.sd	redMain_2_0.mean	redMain_2_0.sd	greenMain_2_0.mean	greenMain_2_0.sd	blueMain_2_0.mean	blueMain_2_0.sd	redSec_2_0.mean	redSec_2_0.sd	greenSec_2_0.mean	greenSec_2_0.sd	blueSec_2_0.mean	blueSec_2_0.sd	secCol_2_0.mean	secCol_2_0.sd	strip_2_0.mean	strip_2_0.sd	dots_2_0.mean	dots_2_0.sd	Height_1_1.mean	Height_1_1.sd	Length_1_1.mean	Length_1_1.sd	redMain_1_1.mean	redMain_1_1.sd	greenMain_1_1.mean	greenMain_1_1.sd	blueMain_1_1.mean	blueMain_1_1.sd	redSec_1_1.mean	redSec_1_1.sd	greenSec_1_1.mean	greenSec_1_1.sd	blueSec_1_1.mean	blueSec_1_1.sd	secCol_1_1.mean	secCol_1_1.sd	strip_1_1.mean	strip_1_1.sd	dots_1_1.mean	dots_1_1.sd	Height_2_1.mean	Height_2_1.sd	Length_2_1.mean	Length_2_1.sd	redMain_2_1.mean	redMain_2_1.sd	greenMain_2_1.mean	greenMain_2_1.sd	blueMain_2_1.mean	blueMain_2_1.sd	redSec_2_1.mean	redSec_2_1.sd	greenSec_2_1.mean	greenSec_2_1.sd	blueSec_2_1.mean	blueSec_2_1.sd	secCol_2_1.mean	secCol_2_1.sd	strip_2_1.mean	strip_2_1.sd	dots_2_1.mean	dots_2_1.sd	V81.mean	V81.sd
0	0	1e-05	0.5	10	0.5	0.2	0.449664429530201	0.499137656508815	0.0168494238255034	0.00427640827272133	0.0109420451677852	0.0022634209061655	0.0232998575838926	0.00472237868083343	0.0230329638255034	0.0046870719748031	0.024248935033557	0.00501389538797533	0.02355637	0.00473177736900919	0.020554269261745	0.0037417289066147	0.0219958661744966	0.00452390498837737	0.00631379463087248	0.00234361590360878	0.00587049939597315	0.00121906721593293	0.00587049939597315	0.00121906721593293	-0.0114706486375839	0.00687544740213705	0.00507812297315436	0.00343812445023391	-0.00602035639597315	0.00405562248620361	-0.00638160329932886	0.00442614274863135	-0.00547362470469799	0.00413966259090526	-0.00649700424832215	0.00461158015636821	-0.00560395477181208	0.00414020760297973	-0.00629503697986577	0.00448285000381786	-0.00923128882416107	0.0051782160399042	-0.00149609746979866	0.00108292153904439	-0.00149609746979866	0.00108292153904439	-0.00836561250469799	0.00574010304982888	0.00423106869798658	0.00299406997685661	-0.00410079380536913	0.00331593819617242	-0.00293197655704698	0.00353950529119251	-0.00328288854161074	0.00319355754105004	-0.00383000317718121	0.00344353920034719	-0.00429473804026846	0.00354027272196827	-0.00333225229530201	0.00319679606612392	-0.00753521338255034	0.00469473865794117	-0.000949339951946309	0.000883745330126863	-0.000949339951946309	0.000883745330126863	0.015793615033557	0.0034050987280505	0.0125549528187919	0.00259296769436288	0.0229760665100671	0.00471015616876733	0.0240673708724832	0.00505104515692905	0.0235802194630872	0.00477651425179305	0.0241964759060403	0.00504493304396935	0.0235543851677852	0.00473223726646282	0.022768854966443	0.00451062127811614	0.0044675542147651	0.00165578164633851	0.0059074077852349	0.00121666572626643	0.0059074077852349	0.00121666572626643		
1	0	1e-05	0.5	10	0.5	0.2	0.50625	0.501530675899216	0.02349031875	0.00157373930625397	0.008369903875	0.00165627722214496	0.027657850625	0.00210614102811613	0.02754432125	0.0020541698740599	0.02894091875	0.00209117513838384	0.02699643875	0.00198491162355702	0.02209286625	0.00202441035691714	0.0260772175	0.00200374165282457	0.011927689375	0.00130918706030884	0.007286519	0.000506994485324976	0.007286519	0.000506994485324976	-0.029185829375	0.0042382536444616	0.0196290525	0.00372821922928748	-0.00943243	0.00210325396782996	-0.0111829619375	0.00231827836777097	-0.0088256776875	0.00212780205158482	-0.0112623508125	0.00203257694282173	-0.00953319175	0.00215443764890915	-0.0106545984375	0.00212160118704272	-0.025309054375	0.00358361367798798	-0.002584057375	0.000548521838446005	-0.002584057375	0.000548521838446005	-0.0246150375	0.00479421454502634	0.022804236875	0.00522601042252162	-0.00373957464375	0.0022576142919678	-0.003715138135625	0.00238467025344578	-0.00195728670875	0.00247808433599936	-0.004400891609375	0.00233238931982515	-0.002899726675	0.00244250783397619	-0.002763493025	0.00225837437849114	-0.025464299375	0.00491043425600814	-0.00099727755825	0.000568998572155908	-0.00099727755825	0.000568998572155908	0.021371309375	0.00220237585236235	0.00991258625	0.00217112671583003	0.02450446625	0.00232958287566187	0.026958269375	0.00235469593801466	0.02439956125	0.00218976697867123	0.0263943875	0.00230595139193807	0.025977983125	0.00218311512092763	0.02505509125	0.00212025054089119	0.0096727174375	0.00197895349987328	0.00669624025	0.000567862134964977	0.00669624025	0.000567862134964977		
2	0	1e-05	0.5	10	0.5	0.2	0.505050505050505	0.501241856244588	0.0269744207070707	0.0020609068597326	0.00515092070707071	0.00263778672893461	0.0255162606060606	0.00230081528692149	0.0286719318181818	0.00203645432759326	0.030007451010101	0.00196029318036066	0.0261261752525253	0.00215757800636429	0.020583352020202	0.00197046469745842	0.025085196969697	0.00202702390863642	0.0167742752525253	0.0022991214259611	0.0074681	0.000493551125771438	0.0074681	0.000493551125771438	-0.0435468757575758	0.00499141031829705	0.0358210101010101	0.00484146618897455	-0.00978148409090909	0.00177985208796331	-0.00916679419191919	0.001850204655833	-0.00659208318181818	0.00170499935251204	-0.00859238464646465	0.00168870238898032	-0.00786098	0.00179955198972377	-0.00874059287878788	0.00180833497493689	-0.0400198787878788	0.00503804343287426	-0.00233889737373737	0.000430270425780923	-0.00233889737373737	0.000430270425780923	-0.0422335590909091	0.00477978298961473	0.0387991181818182	0.0042419714148541	-0.00582071419191919	0.00148225513857007	-0.00583013777777778	0.00160162989545314	-0.00356913243484849	0.00159544282189115	-0.00657342570707071	0.00175503271893496	-0.00364337224242424	0.00163698545078443	-0.00331995277272727	0.0015399384143938	-0.042518247979798	0.00467846082072261	-0.00147274326262626	0.000396892005973856	-0.00147274326262626	0.000396892005973856	0.0276232757575758	0.00235851304182208	0.00427231603030303	0.00317916670074489	0.0244976843434343	0.00215109749932007	0.0282646742424242	0.00226437901698941	0.0237204318181818	0.00208856522809994	0.0282203328282828	0.0022724918125607	0.0272965909090909	0.00212330730777888	0.0265305323232323	0.00215519588096902	0.0162110141414141	0.00210528932171421	0.00706337868686869	0.000525572151633709	0.00706337868686869	0.000525572151633709		
3	0	1e-05	0.5	10	0.5	0.2	0.549707602339181	0.498984176220384	0.031240132748538	0.00114464490629604	0.00121501038064327	0.00153802759619617	0.0238276122807018	0.00167332102166744	0.0291176994152047	0.00173546848272421	0.0321600438596491	0.00168069951508477	0.0249750923976608	0.001595936916231	0.0201451964912281	0.00159229945165861	0.0244923637426901	0.00164825751995537	0.0204774257309942	0.00100489078255472	0.00764224350877193	0.000412313550517755	0.00764224350877193	0.000412313550517755	-0.0586435116959064	0.0032471182780108	0.0517306228070176	0.00388308717038772	-0.0108185665497076	0.00148351455576408	-0.0084167118128655	0.00149406795769123	-0.00586106	0.00166237504778342	-0.00858432169590643	0.00169119147398375	-0.0082951769005848	0.00156835672443345	-0.00731413649122807	0.00167129548305867	-0.0557096719298246	0.00367574649300717	-0.00224624415204678	0.000386922047479334	-0.00224624415204678	0.000386922047479334	-0.0559235842105263	0.00423802599082012	0.0520072608187135	0.00358560206196253	-0.00602007326900585	0.00246255160538056	-0.00601712640350877	0.00237556047783034	-0.00411077629432749	0.0023948799170948	-0.00832611877192982	0.00245668655689234	-0.0054352361631579	0.00281174254601809	-0.00370077379707602	0.00253086963742568	-0.057679067251462	0.00422162577498054	-0.00179286764912281	0.000620529765696381	-0.00179286764912281	0.000620529765696381	0.0326037286549708	0.00200322370705995	-0.000512013188304094	0.00213192423691103	0.0267617192982456	0.00237511779302481	0.0296956842105263	0.00233884748370717	0.0234518298245614	0.00240933349438472	0.0309483116959064	0.00225734571067647	0.0272295678362573	0.00239694643574732	0.0267235105263158	0.00239008627117375	0.020520216374269	0.00156804569822767	0.00764242309941521	0.000592511449581393	0.00764242309941521	0.000592511449581393		
4	0	1e-05	0.5	10	0.5	0.2	0.5	0.501254707117086	0.032572182	0.00148228859415358	0.00042565679145	0.00153876700678054	0.024152921	0.00232481573237677	0.029685443	0.00212883411214594	0.0321881125	0.00211250796057939	0.0255955175	0.00235459705779282	0.020940653	0.00229642224758143	0.024742657	0.00230981281293637	0.02250769	0.000622460052844305	0.00807313255	0.000613614559943677	0.00807313255	0.000613614559943677	-0.0701170225	0.00388922408469202	0.063669553	0.00385540328969903	-0.0118149325	0.00171524598118626	-0.0091426664	0.00168694282892526	-0.00604532605	0.00183509909697583	-0.0089329362	0.0018740510405036	-0.0092829546	0.001829064789447	-0.0067606681	0.00171699305281807	-0.069008212	0.00412892396974024	-0.00238948835	0.000440701866386974	-0.00238948835	0.000440701866386974	-0.0710281195	0.00341447688902682	0.0671043545	0.00529673563740371	-0.0058981937	0.002197972197038	-0.005243380195	0.00238594591598557	-0.0029167132008	0.00259906284858947	-0.0088205811	0.00258310838354306	-0.00729138245	0.00203729543294708	-0.0034954253	0.00287013781521888	-0.074207519	0.00422821876184631	-0.00186345085	0.000586853755975764	-0.00186345085	0.000586853755975764	0.033368306	0.0015136540971746	-0.005434872435	0.002866330827536	0.0247723645	0.00210548946917666	0.028886556	0.0019070247065576	0.02321119	0.00195587576958	0.030591862	0.00195332761522948	0.026274975	0.00194346925530262	0.025698917	0.00190749755315372	0.0239395265	0.00200761246501814	0.00758148005	0.000478843237214045	0.00758148005	0.000478843237214045		
5	0	1e-05	0.5	10	0.5	0.2	0.578378378378378	0.495158700479351	0.0328808783783784	0.00157735160597686	0.000737315097135135	0.00155819154123994	0.0248681005405405	0.00206219717245891	0.0311932605405405	0.00215885885916957	0.0344491627027027	0.00195130598397899	0.0273474859459459	0.00212280196016586	0.0221121967567568	0.002204993017018	0.0248883951351351	0.00213726856276379	0.0233609313513514	0.000473820818833003	0.00870075427027027	0.000498928068828381	0.00870075427027027	0.000498928068828381	-0.0819645691891892	0.00375016655518123	0.0786965378378378	0.00410783242343152	-0.0116978244864865	0.00180865573354335	-0.00816273935135135	0.00185939867356405	-0.00500184581621622	0.00178693350732224	-0.00878633918918919	0.00141967593434508	-0.00834503621621622	0.00162649433704582	-0.00629633389189189	0.00167341085423409	-0.0832536827027027	0.00442077857930016	-0.00229368189189189	0.000417869045187954	-0.00229368189189189	0.000417869045187954	-0.0838669275675676	0.00487006283521724	0.0803042054054054	0.00279904843723583	-0.00579014643243243	0.00270963231715683	-0.00383647535135135	0.00202465758463627	-0.00263459364205405	0.0024309024331549	-0.00790533367567568	0.00222141344912142	-0.00663748140540541	0.00185198437340611	-0.0024213584572973	0.00216576325296627	-0.0879329032432433	0.00435709037642771	-0.00167954267567568	0.000526354329119862	-0.00167954267567568	0.000526354329119862	0.0366243508108108	0.00128746219383577	-0.00711246837837838	0.00137890624559616	0.0260690421621622	0.00175877010088809	0.0302062378378378	0.00166010419031185	0.0243786843243243	0.00183919997719433	0.032552407027027	0.00168717211288089	0.0281981486486486	0.00158214733459982	0.0259744778378378	0.00181329913603201	0.0274511324324324	0.000567654426342972	0.00810662389189189	0.000414279531318593	0.00810662389189189	0.000414279531318593		
6	0	1e-05	0.5	10	0.5	0.2	0.479041916167665	0.501063006803204	0.0305085640718563	0.00107140206762383	0.00113313007365269	0.001546080449637	0.0246319323353293	0.00169554218102141	0.0307559089820359	0.00183695378200106	0.0331280353293413	0.00175556522728103	0.0272230383233533	0.00174760994551273	0.0215454245508982	0.00193155929330431	0.0219911443113772	0.00178662476122499	0.0227605095808383	0.000393737431810667	0.0087355571257485	0.000508030521506386	0.0087355571257485	0.000508030521506386	-0.0932781065868264	0.00353359587048664	0.0905603365269461	0.00167707858759181	-0.0152145982035928	0.00270331401566409	-0.0107563922155689	0.0027617298273562	-0.00718164892215569	0.0026291172046278	-0.00974585419161677	0.00230108411372294	-0.00902755664670659	0.00243455896386728	-0.00841834395209581	0.0024055485400356	-0.0967343353293413	0.00296421743715069	-0.00283266808383234	0.00065098609487207	-0.00283266808383234	0.00065098609487207	-0.0971887586826347	0.0042885453607809	0.0913887922155689	0.00389180662639194	-0.00823916275449102	0.00161415480512273	-0.00623207377245509	0.00186606680735487	-0.00484667201796407	0.00187585436077848	-0.00918644371257485	0.00176628778531586	-0.00730531281437126	0.00172129283631568	-0.00375176091017964	0.00165680967677627	-0.101100401796407	0.0042056654729565	-0.00211647808383234	0.00043899519229046	-0.00211647808383234	0.00043899519229046	0.0355802778443114	0.00163725071445275	-0.00578418443113773	0.00124392933992685	0.0269607215568862	0.00162730382065342	0.0295606754491018	0.00180008123215188	0.0222002317365269	0.00191048005429058	0.0321122143712575	0.00167430843678188	0.0289398820359281	0.00170987642438373	0.025211902994012	0.00174710510998979	0.0271115317365269	0.000746782253153675	0.00822728664670659	0.000413335650529114	0.00822728664670659	0.000413335650529114		
7	0	1e-05	0.5	10	0.5	0.2	0.618181818181818	0.487311280203678	0.0318327727272727	0.00148159247895732	0.000149069996	0.00167559455782707	0.0245120357575758	0.00185872463930249	0.0318440115151515	0.00205015707870558	0.0325304933333333	0.00198839022238586	0.026134023030303	0.00188840425736188	0.0223159715151515	0.00179315834227325	0.0211556848484849	0.00192729780027052	0.0234949648484848	0.000913410446156097	0.00907856266666667	0.00048486816448207	0.00907856266666667	0.00048486816448207	-0.102143493939394	0.00258727358973375	0.100319075151515	0.00453149705386596	-0.0154282216969697	0.0021866908628692	-0.0105993768484849	0.00238892845481589	-0.00649950620606061	0.00208594105614329	-0.00921318654545455	0.00208630182083229	-0.00795179884848485	0.00233968267762058	-0.00793608333333333	0.00212751015284509	-0.106905460606061	0.00358962366309422	-0.00269799642424242	0.000552493133316728	-0.00269799642424242	0.000552493133316728	-0.106443284848485	0.00128531760716697	0.105394598787879	0.0033314254709561	-0.00523350084848485	0.00205714338018928	-0.00357843943939394	0.00232676767245641	-0.00276188851151515	0.0019304524271944	-0.00723148963636364	0.00209542146209501	-0.00511963557575758	0.00198709161135257	-0.00116119713521212	0.00187371734910316	-0.114362418181818	0.00251479448094168	-0.00155111423636364	0.000484476282229269	-0.00155111423636364	0.000484476282229269	0.033126123030303	0.00145503544863465	-0.00488616545454546	0.00173748032212175	0.0287690454545455	0.00214962655430711	0.0291960284848485	0.00211628903423889	0.019737963030303	0.00221289812618128	0.0331525781818182	0.00215997276448143	0.0280403133333333	0.00199233340450317	0.0244263363636364	0.00213038997624021	0.0262017642424242	0.00079780570086679	0.00842005115151515	0.000505340131429735	0.00842005115151515	0.000505340131429735		
8	0	1e-05	0.5	10	0.5	0.2	0.558823529411765	0.497994586041972	0.0332006770588235	0.00121965874255349	-0.00122693236470588	0.00132797191274155	0.02446126	0.0018940023069536	0.0307509182352941	0.00206344442598607	0.0325888917647059	0.00190195709707222	0.0249028670588235	0.00189617521113807	0.0222826011764706	0.00203614681594753	0.0199785111764706	0.00188805058096039	0.0252901358823529	0.000444661617446662	0.00922576017647059	0.000461752045924383	0.00922576017647059	0.000461752045924383	-0.110848052941176	0.00208133497004583	0.110768411764706	0.00313577317473874	-0.0146857123529412	0.00192206431106818	-0.00831859876470588	0.00185661104405621	-0.00552482158823529	0.00205667346320405	-0.00894277847058824	0.00194773241260873	-0.00701735482352941	0.00175827189062948	-0.00673936705882353	0.00202705731849338	-0.117035952941176	0.00220252706613615	-0.00242885517647059	0.000474996017139607	-0.00242885517647059	0.000474996017139607	-0.116758858823529	0.00378674523450886	0.113833523529412	0.00279227278258098	-0.00711560111764706	0.00175348915425651	-0.0057973101	0.00174872367809791	-0.00548898905294118	0.00171914511718743	-0.00850957158823529	0.00158291943024407	-0.00771953164705882	0.00174531756127178	-0.00400606965235294	0.00202667673600991	-0.125782476470588	0.00368944099484904	-0.00213985657647059	0.000430003554616459	-0.00213985657647059	0.000430003554616459	0.0348729435294118	0.00223168481467668	-0.00738804441176471	0.00166101566276381	0.0284050076470588	0.00192523025973988	0.0283863670588235	0.0019218833700052	0.0179492517647059	0.00222464353980543	0.0330403588235294	0.00190726733044263	0.0276727341176471	0.00199379443065942	0.02324687	0.0020219945768324	0.0281302558823529	0.00170465051997794	0.00850806682352941	0.000490489518970014	0.00850806682352941	0.000490489518970014		
9	0	1e-05	0.5	10	0.5	0.2	0.594736842105263	0.492239976974416	0.0347002810526316	0.00105553827606188	-0.00294692551736842	0.00175614867516889	0.0264347757894737	0.0018717375056046	0.0313831789473684	0.00174288388997832	0.0333896305263158	0.00181873202272676	0.0263083547368421	0.00184009476221178	0.0239356952631579	0.00173357199710046	0.02127499	0.00174801524107233	0.02777697	0.000817411755407461	0.0096831192631579	0.000426551225387851	0.0096831192631579	0.000426551225387851	-0.118470984210526	0.00185375430150044	0.1188688	0.00202755670775804	-0.0122987159473684	0.0015963565489268	-0.0074221682631579	0.0015640521297161	-0.00367352816842105	0.00146370670852263	-0.00803016805263158	0.00150764564254312	-0.00661373894736842	0.00151448395206673	-0.00518425331578947	0.0015580142629269	-0.1256434	0.00222239887028057	-0.00213995857894737	0.000375286583062958	-0.00213995857894737	0.000375286583062958	-0.126364326315789	0.00280955030178241	0.123448647368421	0.00347305132250441	-0.00576754584210526	0.00199984721459857	-0.00401404725105263	0.00221433343232762	-0.00408852808421053	0.00202715062237677	-0.00560366962105263	0.00237689618406555	-0.00632776342105263	0.00199088254757973	-0.00280199053105263	0.00183382613642898	-0.136893773684211	0.00315822143979739	-0.00174118230526316	0.000501883599119776	-0.00174118230526316	0.000501883599119776	0.0374881689473684	0.00152423762504475	-0.00787681147368421	0.00124725827744411	0.0283458489473684	0.00181090990589649	0.0292071536842105	0.00168276702049063	0.0202856778947368	0.00178474714976921	0.0331991294736842	0.00171136553960047	0.0285645768421053	0.00160541070727636	0.0241327784210526	0.00199690562465147	0.0312669984210526	0.000464065030162494	0.00883518557894737	0.000405618922448245	0.00883518557894737	0.000405618922448245		
